"Name","Longitude","Latitude","Decile"
"Rodney College",174.520831,-36.28816,4
"Mahurangi College",174.655544,-36.406517,8
"Orewa College",174.689747,-36.591698,9
"Kaipara College",174.459138,-36.680156,7
"Long Bay College",174.738757,-36.691395,10
"Rangitoto College",174.736684,-36.737197,10
"Kristin School",174.692243,-36.742989,10
"Glenfield College",174.714953,-36.779801,7
"Birkenhead College",174.701151,-36.799175,6
"Northcote College",174.733677,-36.808881,8
"Hato Petera College",174.753142,-36.797974,2
"Carmel College",174.756742,-36.779176,10
"Takapuna Grammar School",174.788477,-36.800616,10
"Westlake Boys' High School",174.749491,-36.777366,9
"Westlake Girls' High School",174.752309,-36.782458,9
"Rosmini College",174.760146,-36.792443,9
"Rutherford College",174.646309,-36.85259,6
"Macleans College",174.914424,-36.882722,10
"Green Bay High School",174.669395,-36.93095,8
"Massey High School",174.601693,-36.84188,5
"Waitakere College",174.620712,-36.867097,3
"Henderson High School",174.628205,-36.883656,4
"Liston College",174.623159,-36.866064,5
"St Dominic's Catholic College (Henderson)",174.621071,-36.868859,6
"Western Springs College",174.717535,-36.861976,8
"Selwyn College",174.838551,-36.862331,4
"St Mary's College (Ponsonby)",174.748234,-36.846003,7
"St Paul's College (Ponsonby)",174.73779,-36.854456,3
"Tyndale Park Christian School",174.922239,-36.974546,99
"Auckland Girls' Grammar School",174.75365,-36.85702,5
"Auckland Grammar",174.768851,-36.869414,10
"Tamaki College",174.867271,-36.877943,1
"Tangaroa College",174.892909,-36.972905,1
"Sacred Heart College (Auckland)",174.872413,-36.868894,8
"Saint Kentigern Girls' School",174.805238,-36.880973,10
"Baradene College",174.800324,-36.865643,9
"St Peter's College (Epsom)",174.769673,-36.867787,8
"Marcellin College",174.766435,-36.91013,3
"Epsom Girls Grammar School",174.774123,-36.876429,9
"Glendowie College",174.868137,-36.862578,9
"Dilworth School",174.781062,-36.880303,4
"Diocesan School For Girls",174.778296,-36.880477,10
"St Cuthbert's College (Epsom)",174.77825,-36.887581,10
"Mt Albert Grammar School",174.725349,-36.884707,7
"Marist College",174.726132,-36.881938,7
"Hebron Christian College (Auckland)",174.711189,-36.888609,8
"Mt Roskill Grammar",174.747139,-36.912708,4
"Lynfield College",174.715436,-36.921035,7
"Avondale College",174.691137,-36.891482,4
"Edgewater College",174.874746,-36.922507,4
"Pakuranga College",174.901771,-36.89763,8
"St Kentigern College (Pakuranga)",174.875035,-36.909712,10
"Kelston Boys' High School",174.666886,-36.898785,4
"Kelston Girls' College",174.664361,-36.908063,3
"One Tree Hill College",174.80696,-36.902825,3
"Onehunga High School",174.770962,-36.919501,4
"Howick College",174.939278,-36.90657,10
"Otahuhu College",174.840645,-36.953118,1
"Kings College",174.837266,-36.959802,10
"McAuley High School",174.847352,-36.944408,1
"Mangere College",174.791589,-36.959618,1
"Auckland Seventh-Day Adventist H S",174.785003,-36.956393,2
"De La Salle College",174.837764,-36.964806,1
"Papatoetoe High School",174.871805,-36.975523,3
"Aorere College",174.833081,-36.981416,2
"Sir Edmund Hillary Collegiate Senior School",174.87557,-36.951437,1
"Manurewa High School",174.882302,-37.011253,2
"James Cook High School",174.885978,-37.03498,1
"Papakura High School",174.950801,-37.062945,2
"Rosehill College",174.936559,-37.076585,6
"Pukekohe High School",174.905826,-37.204552,6
"Wesley College",174.890163,-37.148293,2
"Waiuku College",174.725723,-37.251019,7
"TKKM o Hoani Waititi",174.63143,-36.905612,4
"Westminster Christian School",174.710163,-36.76112,9
"Pacific Christian School",174.79067,-36.953257,99
